NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM13,VOTOS_FIT_COM13,PORCENTAJE_FIT_COM13
COMUNA 13,1013000134,6826,256,3.75
COMUNA 13,1013000135,9428,310,3.29
COMUNA 13,1013000136,11643,515,4.42
COMUNA 13,1013000137,10871,486,4.47
COMUNA 13,1013000138,22202,831,3.74
COMUNA 13,1013000139,14074,485,3.45
COMUNA 13,1013000140,6552,261,3.98
COMUNA 13,1013000141,11173,334,2.99
COMUNA 13,1013000142,18591,363,1.95
COMUNA 13,1013000143,13853,470,3.39
COMUNA 13,1013000144,6185,226,3.65
COMUNA 13,1013000145,11879,590,4.97
COMUNA 13,1013000146,8802,414,4.7
COMUNA 13,1013000147,15951,519,3.25
