NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM11,VOTOS_FDT_COM11,PORCENTAJE_FDT_COM11
COMUNA 11,1011000113,10199,3319,32.54
COMUNA 11,1011000114,13502,4438,32.87
COMUNA 11,1011000115,9354,3351,35.82
COMUNA 11,1011000116,13520,4753,35.16
COMUNA 11,1011000117,14847,4609,31.04
COMUNA 11,1011000118,11621,3211,27.63
COMUNA 11,1011000119,14655,4215,28.76
COMUNA 11,1011000120,15195,3986,26.23
COMUNA 11,1011000121,12446,3487,28.02
COMUNA 11,1011000122,10531,2144,20.36
COMUNA 11,1011000123,11586,3104,26.79
