NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM3,VOTOS_FIT_COM3,PORCENTAJE_FIT_COM3
COMUNA 03,1003000030,7953,332,4.17
COMUNA 03,1003000031,8906,396,4.45
COMUNA 03,1003000032,7975,383,4.8
COMUNA 03,1003000033,6284,325,5.17
COMUNA 03,1003000034,9989,465,4.66
COMUNA 03,1003000035,9281,491,5.29
COMUNA 03,1003000036,6246,389,6.23
COMUNA 03,1003000037,8255,414,5.02
COMUNA 03,1003000038,9021,437,4.84
COMUNA 03,1003000039,9468,476,5.03
COMUNA 03,1003000040,7368,350,4.75
COMUNA 03,1003000041,13698,770,5.62
COMUNA 03,1003000042,12464,645,5.17
