NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM3,VOTOS_JXC_COM3,PORCENTAJE_JXC_COM3
COMUNA 03,1003000030,7953,3703,46.56
COMUNA 03,1003000031,8906,4196,47.11
COMUNA 03,1003000032,7975,3533,44.3
COMUNA 03,1003000033,6284,2608,41.5
COMUNA 03,1003000034,9989,4228,42.33
COMUNA 03,1003000035,9281,3489,37.59
COMUNA 03,1003000036,6246,2034,32.56
COMUNA 03,1003000037,8255,3109,37.66
COMUNA 03,1003000038,9021,3559,39.45
COMUNA 03,1003000039,9468,3849,40.65
COMUNA 03,1003000040,7368,2978,40.42
COMUNA 03,1003000041,13698,4916,35.89
COMUNA 03,1003000042,12464,4804,38.54
