NOMBRE_REGION,VOTOS_TOTALES_DIPNAC,VOTOS_JXC_DIPNAC,PORCENTAJE_JXC_DIPNAC
COMUNA 01,121775,54235,44.54
COMUNA 02,103939,64237,61.8
COMUNA 03,116979,46741,39.96
COMUNA 04,136912,47643,34.8
COMUNA 05,121949,49069,40.24
COMUNA 06,127597,59259,46.44
COMUNA 07,133888,53916,40.27
COMUNA 08,106347,32172,30.25
COMUNA 09,116615,43213,37.06
COMUNA 10,118715,47745,40.22
COMUNA 11,137473,61243,44.55
COMUNA 12,151949,70250,46.23
COMUNA 13,168452,97722,58.01
COMUNA 14,156863,91266,58.18
COMUNA 15,128567,50999,39.67
