NOMBRE_REGION,VOTOS_TOTALES_JEFGOB,VOTOS_FIT_JEFGOB,PORCENTAJE_FIT_JEFGOB,VOTOS_CF_JEFGOB,PORCENTAJE_CF_JEFGOB,VOTOS_FDT_JEFGOB,PORCENTAJE_FDT_JEFGOB,VOTOS_JXC_JEFGOB,PORCENTAJE_JXC_JEFGOB,VOTOS_ULD_JEFGOB,PORCENTAJE_ULD_JEFGOB,VOTOS_NULO_JEFGOB,PORCENTAJE_NULO_JEFGOB,VOTOS_RECURRIDO_JEFGOB,PORCENTAJE_RECURRIDO_JEFGOB,VOTOS_IMPUGNADO_JEFGOB,PORCENTAJE_IMPUGNADO_JEFGOB,VOTOS_BLANCO_JEFGOB,PORCENTAJE_BLANCO_JEFGOB,VOTOS_OTROS_JEFGOB,PORCENTAJE_OTROS_JEFGOB
COMUNA 01,122434,4519,3.69,7072,5.78,40885,33.39,56382,46.05,25,0.02,914,0.75,61,0.05,9,0.01,10106,8.25,2461,2.7
COMUNA 02,103719,2700,2.6,5364,5.17,19015,18.33,66945,64.54,4,0.0,662,0.64,47,0.05,25,0.02,7474,7.21,1483,2.62
COMUNA 03,117105,5299,4.52,8118,6.93,41479,35.42,48171,41.13,23,0.02,1166,1.0,23,0.02,6,0.01,10027,8.56,2793,0.66
COMUNA 04,137377,5825,4.24,9018,6.56,54806,39.89,49209,35.82,44,0.03,1267,0.92,74,0.05,55,0.04,14203,10.34,2876,1.16
COMUNA 05,121900,6016,4.94,9207,7.55,42240,34.65,50721,41.61,41,0.03,1077,0.88,35,0.03,15,0.01,9280,7.61,3268,0.84
COMUNA 06,127600,5518,4.32,9838,7.71,37342,29.26,61167,47.94,95,0.07,1104,0.87,34,0.03,8,0.01,9094,7.13,3400,1.14
COMUNA 07,134676,5444,4.04,10492,7.79,47007,34.9,55597,41.28,28,0.02,1188,0.88,48,0.04,68,0.05,11554,8.58,3250,1.67
COMUNA 08,107396,4014,3.74,7101,6.61,50118,46.67,33339,31.04,84,0.08,1095,1.02,52,0.05,80,0.07,9711,9.04,1802,1.63
COMUNA 09,116909,4566,3.91,10143,8.68,43885,37.54,44444,38.02,95,0.08,1149,0.98,30,0.03,66,0.06,10069,8.61,2462,2.36
COMUNA 10,118876,5062,4.26,10612,8.93,39417,33.16,49292,41.47,57,0.05,1243,1.05,82,0.07,42,0.04,10050,8.45,3019,2.29
COMUNA 11,137374,5437,3.96,11754,8.56,41353,30.1,63108,45.94,170,0.12,1387,1.01,35,0.03,20,0.01,10778,7.85,3332,2.02
COMUNA 12,151802,6317,4.16,12166,8.01,44305,29.19,72486,47.75,59,0.04,1480,0.97,35,0.02,30,0.02,11447,7.54,3477,2.45
COMUNA 13,168245,5539,3.29,10385,6.17,35193,20.92,100863,59.95,57,0.03,1283,0.76,31,0.02,14,0.01,11745,6.98,3135,2.16
COMUNA 14,156319,4889,3.13,8842,5.66,34391,22.0,93547,59.84,90,0.06,1137,0.73,34,0.02,22,0.01,10680,6.83,2687,2.38
COMUNA 15,128877,6349,4.93,9459,7.34,45470,35.28,52804,40.97,105,0.08,1271,0.99,58,0.05,16,0.01,9665,7.5,3680,2.5
