NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM3,VOTOS_NULO_COM3,PORCENTAJE_NULO_COM3
COMUNA 03,1003000030,7953,87,1.09
COMUNA 03,1003000031,8906,90,1.01
COMUNA 03,1003000032,7975,76,0.95
COMUNA 03,1003000033,6284,70,1.11
COMUNA 03,1003000034,9989,104,1.04
COMUNA 03,1003000035,9281,81,0.87
COMUNA 03,1003000036,6246,58,0.93
COMUNA 03,1003000037,8255,81,0.98
COMUNA 03,1003000038,9021,73,0.81
COMUNA 03,1003000039,9468,102,1.08
COMUNA 03,1003000040,7368,71,0.96
COMUNA 03,1003000041,13698,141,1.03
COMUNA 03,1003000042,12464,116,0.93
